DATAHORA;ORDEM;LINHA;LATITUDE;LONGITUDE;VELOCIDADE
03-17-2019 08:47:06;B63008;665.0;-22.814659;-43.294128;54.0
03-17-2019 08:49:46;D53679;;-22.88328;-43.495689;0.0
03-17-2019 08:53:14;D13227;;-22.915701;-43.361309;0.0
03-17-2019 08:58:18;A29035;;-22.86809;-43.29261;0.0
03-17-2019 09:00:51;D17085;;-22.918171;-43.607861;0.0
03-17-2019 09:04:41;C30256;550.0;-22.98539;-43.229561;39.0
03-17-2019 09:07:41;C30217;;-22.966539;-43.186371;0.0
03-17-2019 09:08:17;D53755;;-22.884319;-43.496231;0.0
03-17-2019 09:12:16;D87713;;-22.91717;-43.608398;0.0
03-17-2019 09:12:29;A41040;106.0;-22.684891;-43.48241;0.0
03-17-2019 09:13:27;A41004;106.0;-22.684549;-43.48246;0.0
03-17-2019 09:26:54;D53929;;-22.884001;-43.495628;0.0
03-17-2019 09:27:50;D86049;;-22.89562;-43.53286;0.0
03-17-2019 09:27:55;D53754;;-22.883249;-43.495571;0.0
03-17-2019 09:28:33;C50034;810.0;-22.983139;-43.489666;60.0
03-17-2019 09:34:03;D87881;;-22.916361;-43.607231;0.0
03-17-2019 09:37:44;B51547;624.0;-22.86813;-43.343491;0.0
03-17-2019 09:38:40;D13236;;-23.00806;-43.303459;0.0
03-17-2019 09:39:42;D13368;;-22.876591;-43.419941;0.0
03-17-2019 09:39:57;D87872;;-22.917009;-43.60741;0.0
03-17-2019 09:47:13;A72079;422.0;-22.888798;-43.292591;0.0
03-17-2019 09:49:20;C47766;;-22.979759;-43.333271;8.0
03-17-2019 09:49:32;C47515;;-22.952959;-43.349209;0.0
03-17-2019 09:51:01;D53649;759.0;-22.884439;-43.495098;0.0
03-17-2019 09:51:58;B32734;386.0;-22.81669;-43.394249;0.0
03-17-2019 09:58:43;C47748;;-22.951799;-43.348461;0.0
03-17-2019 10:02:45;B58079;628.0;-22.83918;-43.282921;30.0
03-17-2019 10:03:32;A63543;;-22.867611;-43.258701;0.0
03-17-2019 10:07:26;D87396;;-22.916901;-43.608028;0.0
03-17-2019 10:09:32;C30007;565.0;-22.879749;-43.356869;0.0
03-17-2019 10:10:08;D13261;777.0;-22.87405;-43.33535;26.0
03-17-2019 10:13:37;C47588;;-22.952749;-43.348862;0.0
03-17-2019 10:19:39;B25533;;-22.902081;-43.298721;0.0
03-17-2019 10:21:40;B58181;621.0;-22.838671;-43.283871;32.0
03-17-2019 10:25:34;B71135;238.0;-22.929995;-43.254093;0.0
03-17-2019 10:28:04;D12127;;-22.85029;-43.765999;0.0
03-17-2019 10:31:49;D87858;;-22.91654;-43.6077;0.0
03-17-2019 10:41:23;D13076;383.0;-22.908581;-43.18911;0.0
03-17-2019 10:41:58;D53914;;-22.883789;-43.496208;0.0
03-17-2019 10:44:04;B11700;669.0;-22.81111;-43.372967;0.0
03-17-2019 10:48:39;A63505;104.0;-22.926399;-43.179119;39.0
03-17-2019 10:49:38;B63010;665.0;-22.84095;-43.25312;32.0
03-17-2019 10:51:59;B32829;385.0;-22.816771;-43.394321;0.0
03-17-2019 10:52:47;D53671;393.0;-22.884569;-43.495201;3.0
03-17-2019 10:56:16;B58122;;-22.836571;-43.285801;0.0
03-17-2019 10:56:30;D17029;;-22.91856;-43.60799;0.0
03-17-2019 10:57:26;C47677;;-23.001459;-43.365822;0.0
03-17-2019 11:00:45;B28531;321.0;-22.88912;-43.224178;59.0
03-17-2019 11:04:06;D53692;393.0;-22.88335;-43.495152;0.0
03-17-2019 11:16:41;B63029;;-22.81366;-43.268459;68.0
03-17-2019 11:25:53;A63537;;-22.87207;-43.253551;49.0
03-17-2019 11:28:02;C30250;550.0;-22.982559;-43.227539;39.0
03-17-2019 11:28:39;B10553;630.0;-22.86866;-43.254589;0.0
03-17-2019 11:29:21;C47569;939.0;-22.953079;-43.349689;0.0
03-17-2019 11:29:55;B58012;;-22.837379;-43.286572;43.0
03-17-2019 11:29:57;D53713;;-22.88377;-43.495411;0.0
03-17-2019 11:30:27;D53710;;-22.884001;-43.494541;0.0
03-17-2019 11:32:04;C44644;;-22.8612;-43.370731;0.0
03-17-2019 11:32:39;D87743;;-22.918631;-43.608379;0.0
03-17-2019 11:33:47;B32528;687.0;-22.81727;-43.393051;0.0
03-17-2019 11:36:11;C47607;600.0;-22.923401;-43.29361;46.0
03-17-2019 11:38:33;A27657;;-22.920521;-43.256142;20.0
03-17-2019 11:42:58;B63038;;-22.792561;-43.294601;0.0
