,DATAHORA,ORDEM,LINHA,LATITUDE,LONGITUDE,VELOCIDADE
141,2019-03-17 07:00:57,D17153,,-22.918751,-43.607021,0.0
142,2019-03-17 07:03:54,C30338,565.0,-22.915770000000002,-43.36142,0.0
143,2019-03-17 07:05:51,B32506,615.0,-22.59234,-43.08812,1.0
144,2019-03-17 07:06:37,D12164,,-22.839041,-43.367321000000004,68.0
145,2019-03-17 07:07:58,D12117,,-22.986759,-43.198710999999996,16.0
146,2019-03-17 07:08:57,B25590,,-22.902281,-43.299469,0.0
147,2019-03-17 07:13:40,C47526,881.0,-22.95274,-43.350079,0.0
148,2019-03-17 07:15:03,A29056,,-22.868111,-43.29221,0.0
149,2019-03-17 07:18:53,B44696,,-22.86035,-43.355839,0.0
150,2019-03-17 07:26:15,C30114,,-22.95225,-43.349579,0.0
151,2019-03-17 07:30:05,C50196,,-22.921833,-43.247261,11.3
152,2019-03-17 07:34:03,B11642,778.0,-22.81155,-43.372101,0.0
153,2019-03-17 07:34:44,B51642,,-22.877270000000003,-43.368649,0.0
154,2019-03-17 07:34:47,D87206,,-22.918260999999998,-43.607269,0.0
155,2019-03-17 07:36:35,A41258,106.0,-22.874531,-43.242069,0.0
156,2019-03-17 07:38:12,D87450,,-22.91795,-43.607521000000006,0.0
157,2019-03-17 07:40:47,D53522,369.0,-22.883471,-43.49585,2.0
158,2019-03-17 07:40:48,B32559,687.0,-22.818089999999998,-43.390511,26.0
159,2019-03-17 07:41:35,C47566,552.0,-23.000059,-43.38467,0.0
160,2019-03-17 07:42:09,A29168,582.0,-22.944059,-43.182899,38.0
161,2019-03-17 07:43:00,A63503,,-22.867331,-43.258701,4.0
162,2019-03-17 07:43:10,A27640,433.0,-22.91968,-43.25592,0.0
163,2019-03-17 07:43:15,D53912,,-22.88385,-43.495781,0.0
164,2019-03-17 07:43:34,D53588,,-22.88402,-43.4958,0.0
165,2019-03-17 07:46:19,D12110,,-22.85025,-43.766040999999994,7.0
166,2019-03-17 07:47:21,D53699,,-22.883631,-43.49604,0.0
167,2019-03-17 07:58:54,C30212,558.0,-22.97051,-43.3358,0.0
168,2019-03-17 08:00:33,C47726,636.0,-22.89126,-43.347752,45.0
169,2019-03-17 08:02:26,B58077,,-22.836651,-43.287682000000004,40.0
