"aisp";"mes";"vano";"nome_comandante_bpm"
9;9;2002;"TEN CEL ANTONIO CARLOS SUARES DAVID"
10;9;2002;"TEN CEL ROSANO AUGUSTO DE SOUZA"
11;9;2002;"TEN CEL OSWALDO AUGUSTO VAZ"
12;9;2002;"CEL MARCÍLIO FARIA DA COSTA"
13;9;2002;"TEN CEL SIDNEI COUTINHO TEIXEIRA"
14;9;2002;"TEN CEL MIGUEL DE ALMEIDA CARLOU"
15;9;2002;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;9;2002;"TEN CEL RONALDO ANTONIO DE MENEZES"
17;9;2002;"TEN CEL ALCIDES MENEZES DE AZEVEDO"
18;9;2002;"TEN CEL MARCO AURÉLIO DE MOURA"
19;9;2002;"TEN CEL DARIO CONY DOS SANTOS"
20;9;2002;"CEL FRANCISCO D' AMBRÓSIO"
21;9;2002;"CEL CARLOS ALBERTO VICTORIANO GUEDES"
22;9;2002;"CEL CARLOS AUGUSTO CARRIJO DA SILVA"
23;9;2002;"TEN CEL UBIRATAN DE OLIVEIRA ANGELO"
24;9;2002;"TEN CEL EDUARDO LUIZ DA FONSECA PINTO"
25;9;2002;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;9;2002;"TEN CEL LUIZ CARLOS DE OLIVEIRA"
27;9;2002;"TEN CEL JOSÉ DE OLIVEIRA PENTEADO"
28;9;2002;"CEL RENATO SILVA HOTTZ"
29;9;2002;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;9;2002;"TEN CEL EDSON EURICO DOS SANTOS"
31;9;2002;"TEN CEL MAURO GONÇALVES TEIXEIRA"
32;9;2002;"TEN CEL MARCOS FAZIO CORREA"
33;9;2002;"MAJ HIRAN JORGE FIGUEIREDO DE CARVALHO"
34;9;2002;"MAJ MAURÍCIO SANTOS DE MORAES"
35;9;2002;"TEN CEL ROMÃO ROBERTO DE MELLO VILAÇA"
36;9;2002;"TEN CEL WEBER GUTTEMBERG COLLYER"
37;9;2002;"MAJ JOÃO GILBERTO DA SILVA GUIMARAES"
38;9;2002;"MAJ DALMO SIQUEIRA GOMES"
