fmun_cod;fmun;vano;mes;mes_ano;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_bicicleta;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;apreensao_drogas;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;pol_militares_mortos_folga;pol_civis_mortos_folga;indicador_letalidade;indicador_roubo_rua;indicador_roubo_veic;registro_ocorrencias;fase
3300605;Bom Jesus do Itabapoana;2014;1;2014m1;Interior;0;0;0;0;0;23;2;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;20;21;0;0;0;1;8;1;0;9;0;3;2;0;1;27;0;0;0;0;0;0;0;0;0;0;115;3
3300704;Cabo Frio;2014;1;2014m1;Interior;9;0;0;0;12;119;9;4;81;8;2;15;1;34;1;0;0;0;0;0;0;118;103;34;0;57;6;17;194;384;0;0;2;27;14;34;5;51;26;80;28;8;0;121;7;3;0;0;0;0;0;9;35;15;1105;3
3300803;Cachoeiras de Macacu;2014;1;2014m1;Interior;2;0;0;0;5;31;2;1;22;1;1;0;1;1;0;0;0;0;0;0;0;3;7;4;0;0;1;1;21;27;0;1;0;7;2;2;1;5;0;3;1;2;0;20;2;1;0;0;0;0;0;2;1;0;175;3
3300902;Cambuci;2014;1;2014m1;Interior;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;3;0;0;0;1;1;1;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;42;3
3300936;Carapebus;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3300951;Comendador Levy Gasparian;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3301009;Campos dos Goytacazes;2014;1;2014m1;Interior;18;0;0;0;33;193;20;6;78;12;2;26;3;89;6;1;2;3;0;2;0;13;160;56;0;55;19;8;165;302;0;0;0;45;32;49;22;95;41;151;52;25;1;200;10;1;0;0;0;0;0;18;98;26;1397;3
3301108;Cantagalo;2014;1;2014m1;Interior;1;0;0;0;0;17;2;0;8;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;11;13;0;0;0;0;0;1;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;68;3
3301157;Cardoso Moreira;2014;1;2014m1;Interior;1;0;0;0;0;12;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;6;0;0;0;0;5;0;0;5;0;4;0;0;0;13;0;0;0;0;0;0;0;1;0;0;56;3
3301207;Carmo;2014;1;2014m1;Interior;0;0;0;0;0;19;1;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;9;11;0;0;0;1;0;1;0;1;1;1;0;1;7;17;1;0;0;0;0;0;0;0;0;1;101;3
3301306;Casimiro de Abreu;2014;1;2014m1;Interior;0;0;0;0;0;21;0;4;25;0;1;6;0;2;0;0;0;0;0;0;0;1;10;3;0;1;1;3;23;31;0;0;0;4;1;0;0;1;3;2;2;3;1;31;1;0;0;0;0;0;0;0;2;6;129;3
3301405;Conceição de Macabu;2014;1;2014m1;Interior;1;0;0;0;0;9;1;0;5;0;0;0;1;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;3;0;0;0;0;2;0;0;2;1;0;0;5;0;13;0;0;0;0;0;0;0;1;1;0;54;3
3301504;Cordeiro;2014;1;2014m1;Interior;1;0;0;0;0;13;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;2;17;21;0;0;0;1;0;1;1;2;0;6;0;2;0;9;1;0;0;0;0;0;0;1;0;0;68;3
3301603;Duas Barras;2014;1;2014m1;Interior;0;0;0;0;0;15;1;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;0;0;0;1;1;0;0;1;0;1;0;0;0;13;0;0;0;0;0;0;0;0;1;0;44;3
3301702;Duque de Caxias;2014;1;2014m1;Baixada Fluminense;37;0;0;3;31;511;25;8;186;49;3;340;57;683;37;0;0;18;1;4;0;117;1309;74;0;118;43;37;370;642;0;10;2;209;5;57;3;65;202;187;88;56;0;447;43;3;0;0;0;0;0;40;738;340;4247;3
3301801;Engenheiro Paulo de Frontin;2014;1;2014m1;Interior;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3;6;0;0;0;0;1;2;0;3;0;2;2;1;0;12;0;0;0;0;0;0;0;0;0;0;37;3
3301850;Guapimirim;2014;1;2014m1;Baixada Fluminense;1;0;0;0;3;49;2;1;6;0;0;10;0;1;0;0;0;0;0;0;0;1;12;1;0;0;1;0;9;11;0;0;0;6;1;1;0;2;0;11;2;2;0;35;4;0;0;0;0;0;0;1;1;10;137;3
3301876;Iguaba Grande;2014;1;2014m1;Interior;0;0;0;0;1;23;1;0;21;1;1;3;1;3;0;0;0;0;0;0;0;1;10;4;0;2;1;1;25;33;0;0;0;1;1;0;0;1;2;1;0;1;0;19;0;0;0;0;0;0;0;0;3;3;126;3
3301900;Itaboraí;2014;1;2014m1;Interior;5;0;0;0;10;118;9;2;58;10;2;51;2;67;10;0;0;7;0;0;0;13;162;31;0;9;6;12;106;164;0;3;1;28;3;25;2;30;49;58;26;14;0;169;11;0;0;0;0;0;0;5;84;51;908;3
3302007;Itaguaí;2014;1;2014m1;Baixada Fluminense;9;0;0;0;3;70;5;2;27;3;3;29;0;26;3;0;0;1;0;0;0;10;75;16;0;11;3;8;77;115;0;0;0;19;0;7;0;7;13;23;3;6;0;57;8;0;1;0;0;0;0;9;30;29;461;3
3302056;Italva;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3302106;Itaocara;2014;1;2014m1;Interior;0;0;0;0;1;22;1;1;9;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;12;13;0;2;0;1;0;0;0;0;0;2;0;0;0;17;0;0;0;0;0;0;0;0;0;1;82;3
3302205;Itaperuna;2014;1;2014m1;Interior;1;0;0;0;1;53;2;0;26;7;0;2;0;3;0;0;0;0;0;0;0;2;14;5;0;2;1;1;39;48;0;2;0;12;53;11;4;66;0;29;5;6;0;33;1;0;0;0;0;0;0;1;3;2;328;3
3302254;Itatiaia;2014;1;2014m1;Interior;0;0;0;0;2;23;3;0;5;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;2;1;3;24;31;0;0;0;2;114;13;0;125;4;24;2;12;0;17;0;0;0;0;0;0;0;0;1;0;280;3
3302270;Japeri;2014;1;2014m1;Baixada Fluminense;5;0;0;0;5;72;4;0;8;0;0;1;0;7;2;0;0;0;0;0;0;4;14;2;0;3;1;2;22;30;0;0;0;2;4;16;2;21;3;16;9;10;0;50;3;1;0;0;0;0;0;5;9;1;298;3
3302304;Laje do Muriaé;2014;1;2014m1;Interior;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;1;0;1;0;1;0;1;0;6;0;0;0;0;0;0;0;0;0;0;28;3
3302403;Macaé;2014;1;2014m1;Interior;10;0;0;3;19;86;26;4;60;19;0;42;4;66;3;0;0;7;0;0;0;11;151;36;0;20;7;13;169;246;0;4;0;32;10;16;1;25;23;38;14;12;0;92;9;1;0;0;0;0;0;13;76;42;886;3
3302452;Macuco;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3302502;Magé;2014;1;2014m1;Baixada Fluminense;15;0;0;0;18;187;5;1;41;8;0;18;0;39;5;0;0;2;1;2;0;14;89;34;0;17;3;8;83;145;0;2;0;22;3;7;4;14;32;50;11;23;1;155;13;2;0;0;0;0;0;15;46;18;868;3
3302601;Mangaratiba;2014;1;2014m1;Interior;2;0;0;0;3;29;1;0;21;1;0;4;0;3;1;0;0;0;0;0;0;1;9;7;0;4;0;7;30;49;0;0;0;2;3;1;0;4;5;10;3;2;0;38;0;1;1;0;0;0;0;2;4;4;181;3
3302700;Maricá;2014;1;2014m1;Grande Niterói;6;0;0;0;4;77;2;9;65;5;2;14;0;16;0;0;0;1;0;1;0;2;41;19;0;7;4;8;102;140;0;2;0;20;2;12;0;14;16;25;9;13;0;103;7;0;0;0;0;0;0;6;17;14;573;3
3302809;Mendes;2014;1;2014m1;Interior;0;0;0;0;0;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;10;0;0;0;5;2;0;0;2;0;0;0;1;0;7;0;2;0;0;0;0;0;0;0;0;53;3
3302858;Mesquita;2014;1;2014m1;Baixada Fluminense;4;0;0;0;7;111;11;2;17;16;4;53;3;100;2;0;0;0;0;0;0;2;180;32;0;19;11;6;75;143;0;2;0;14;0;9;1;10;26;20;6;9;0;108;15;1;0;0;0;0;0;4;102;53;717;3
3302908;Miguel Pereira;2014;1;2014m1;Interior;2;0;0;0;1;21;1;2;11;0;1;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;18;21;0;0;0;2;1;3;0;4;0;11;2;3;0;22;0;0;0;0;0;0;0;2;1;0;114;3
3303005;Miracema;2014;1;2014m1;Interior;0;0;0;2;0;10;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;2;22;3;2;27;1;9;0;0;0;22;1;0;0;0;0;0;0;2;0;0;95;3
3303104;Natividade;2014;1;2014m1;Interior;0;0;0;0;0;7;2;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;8;0;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;47;3
3303203;Nilópolis;2014;1;2014m1;Baixada Fluminense;9;0;1;0;7;105;3;0;13;14;3;71;5;116;1;0;0;17;0;3;0;14;244;13;0;31;8;11;90;153;0;0;0;24;2;5;3;9;34;13;5;10;0;139;1;0;0;0;0;0;0;10;134;71;893;3
3303302;Niterói;2014;1;2014m1;Grande Niterói;7;0;0;3;15;228;13;7;174;32;8;140;1;300;40;0;0;10;0;0;0;42;572;104;0;152;35;51;412;755;0;16;2;169;13;29;8;50;104;109;38;60;0;233;16;4;1;0;0;0;0;10;350;140;2827;3
3303401;Nova Friburgo;2014;1;2014m1;Interior;3;0;0;0;3;104;8;6;65;6;1;0;0;16;0;0;0;4;0;0;0;9;35;19;0;4;2;5;100;131;0;1;0;16;7;20;2;29;15;42;12;11;0;116;2;0;0;0;0;0;0;3;20;0;685;3
3303500;Nova Iguaçu;2014;1;2014m1;Baixada Fluminense;51;0;2;1;24;467;41;6;143;42;8;259;24;446;36;0;1;32;0;8;0;30;884;46;0;88;20;38;274;468;0;5;1;106;4;35;2;41;81;100;41;39;0;469;36;3;0;0;0;0;0;54;514;259;3237;3
3303609;Paracambi;2014;1;2014m1;Baixada Fluminense;0;0;0;0;0;25;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;3;4;0;0;1;0;2;10;13;0;0;0;5;0;13;1;14;3;17;4;2;0;34;0;0;0;0;0;0;0;0;0;1;121;3
3303708;Paraíba do Sul;2014;1;2014m1;Interior;1;0;0;0;0;25;2;0;13;0;0;2;1;0;0;0;0;0;0;0;0;1;4;6;0;0;0;2;13;21;0;0;0;0;6;1;0;7;2;4;0;3;0;15;0;1;0;0;0;0;0;1;0;2;115;3
3303807;Paraty;2014;1;2014m1;Interior;1;0;0;0;4;26;5;2;17;2;0;1;0;3;0;0;0;0;0;0;0;7;7;4;0;4;0;3;50;67;0;0;0;10;14;5;0;19;1;12;3;5;0;31;0;0;0;0;0;0;0;1;3;1;265;3
3303856;Paty do Alferes;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3303906;Petrópolis;2014;1;2014m1;Interior;0;0;0;0;3;130;6;2;28;1;1;0;1;2;1;0;0;0;0;0;0;3;9;23;0;27;9;16;97;172;0;2;0;28;8;30;0;35;15;56;7;22;0;99;10;1;0;0;0;0;0;0;3;0;680;3
3303955;Pinheiral;2014;1;2014m1;Interior;0;0;0;0;0;24;2;0;7;2;0;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;1;9;10;0;0;0;0;2;1;0;3;0;4;0;3;1;30;0;0;0;0;0;0;0;0;1;1;95;3
3304003;Piraí;2014;1;2014m1;Interior;0;0;0;0;0;8;1;0;7;0;0;0;2;0;0;0;0;0;0;0;0;1;3;3;0;0;1;0;24;28;0;0;0;1;3;2;1;6;1;5;1;0;0;22;1;0;0;0;0;0;0;0;0;0;92;3
3304102;Porciúncula;2014;1;2014m1;Interior;0;0;0;0;0;14;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;13;15;0;0;0;0;4;1;1;4;0;2;2;0;0;13;0;0;0;0;0;0;0;0;0;0;68;3
3304110;Porto Real;2014;1;2014m1;Interior;0;0;0;0;1;20;1;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;5;13;19;0;1;0;1;6;4;1;11;0;4;0;5;0;12;1;0;0;0;0;0;0;0;0;0;86;3
3304128;Quatis;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3304144;Queimados;2014;1;2014m1;Baixada Fluminense;8;0;0;1;5;142;9;0;21;6;1;15;2;42;7;0;0;0;0;1;0;4;78;12;0;10;4;3;66;95;0;3;0;12;2;8;0;10;22;29;6;13;0;124;7;1;0;0;0;0;0;9;49;15;600;3
3304151;Quissamã;2014;1;2014m1;Interior;2;0;1;0;1;12;2;0;21;3;0;3;0;0;0;0;0;0;0;0;0;1;7;4;0;0;0;0;9;13;0;1;0;1;1;0;0;1;6;2;0;0;0;6;0;0;0;0;0;0;0;3;0;3;79;3
3304201;Resende;2014;1;2014m1;Interior;4;0;0;0;2;94;5;1;25;2;0;1;1;3;0;0;0;0;0;0;0;2;10;9;0;8;5;15;87;123;0;1;0;14;16;16;3;35;8;45;6;8;0;105;9;1;0;0;0;0;0;4;3;1;515;3
3304300;Rio Bonito;2014;1;2014m1;Interior;1;0;0;0;0;20;0;9;20;4;2;7;0;4;2;0;0;0;0;0;0;0;19;5;0;0;1;3;17;26;0;0;0;8;1;4;0;5;5;9;3;2;0;28;1;0;0;0;0;0;0;1;6;7;163;3
3304409;Rio Claro;2014;1;2014m1;Interior;0;0;0;0;1;15;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;2;7;0;0;0;0;0;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;48;3
3304508;Rio das Flores;2014;1;2014m1;Interior;0;0;0;0;0;5;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;22;3
3304524;Rio das Ostras;2014;1;2014m1;Interior;4;0;0;0;11;76;0;1;42;5;0;8;0;31;2;0;0;4;0;1;0;7;58;39;0;32;4;8;148;231;0;2;0;15;6;7;1;14;16;23;6;6;0;98;2;1;0;0;0;0;0;4;37;8;639;3
3304557;Rio de Janeiro;2014;1;2014m1;Capital;113;3;5;32;192;3562;194;62;1909;354;54;1336;286;3273;423;5;0;308;6;80;0;1027;6859;629;0;2357;672;1059;4743;9753;0;94;21;1672;602;310;110;1019;1011;1132;510;824;32;3469;254;21;0;0;0;0;0;153;4004;1336;36489;3
3304607;Santa Maria Madalena;2014;1;2014m1;Interior;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;1;1;0;0;1;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;30;3
3304706;Santo Antônio de Pádua;2014;1;2014m1;Interior;3;0;1;0;0;27;1;0;6;1;0;2;1;0;0;0;0;0;0;0;0;2;6;5;0;1;0;2;30;38;0;0;0;1;16;11;1;27;3;20;2;3;0;28;0;1;0;0;0;0;0;4;0;2;186;3
3304755;São Francisco de Itabapoana;2014;1;2014m1;Interior;1;0;0;0;4;26;2;0;1;1;0;2;0;2;0;0;0;1;0;0;0;0;6;5;0;1;1;2;27;36;0;0;0;1;1;0;1;2;3;8;0;12;0;8;1;0;0;0;0;0;0;1;3;2;119;3
3304805;São Fidélis;2014;1;2014m1;Interior;0;0;0;0;0;19;1;0;5;1;0;0;1;1;0;0;0;0;0;0;0;1;4;1;0;0;0;0;20;21;0;1;0;1;3;3;1;7;1;10;2;2;0;18;0;0;0;0;0;0;0;0;1;0;98;3
3304904;São Gonçalo;2014;1;2014m1;Grande Niterói;29;0;1;3;50;481;32;12;199;62;5;408;41;731;51;0;0;41;1;7;0;76;1423;114;0;109;35;47;344;649;0;7;2;127;8;60;2;70;278;160;81;36;0;624;41;2;0;0;0;0;0;33;823;408;4473;3
3305000;São João da Barra;2014;1;2014m1;Interior;4;0;2;0;6;25;5;3;12;2;1;0;0;12;1;0;0;1;0;0;0;3;20;7;0;2;0;3;43;55;0;0;0;5;4;4;2;9;4;14;2;5;0;18;0;0;0;0;0;0;0;6;14;0;195;3
3305109;São João de Meriti;2014;1;2014m1;Baixada Fluminense;23;0;0;0;15;239;7;2;88;41;7;204;17;269;9;0;1;9;0;8;0;48;613;41;0;22;13;13;162;251;0;4;0;92;5;9;2;16;102;64;27;39;0;238;17;1;0;0;0;0;0;23;287;204;1983;3
3305133;São José de Ubá;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3305158;São José do Vale do Rio Preto;2014;1;2014m1;Interior;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;3;0;0;3;0;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;37;3
3305208;São Pedro da Aldeia;2014;1;2014m1;Interior;4;0;1;0;0;45;4;5;28;2;1;4;0;3;1;0;0;0;0;0;0;9;20;13;0;2;1;3;48;67;0;1;0;9;3;7;1;11;12;7;2;10;0;35;3;0;0;0;0;0;0;5;4;4;273;3
3305307;São Sebastião do Alto;2014;1;2014m1;Interior;1;0;0;0;0;5;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;26;3
3305406;Sapucaia;2014;1;2014m1;Interior;0;0;0;0;0;11;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;3;0;0;0;0;6;9;0;1;0;1;2;0;0;2;0;3;0;1;0;6;2;0;0;0;0;0;0;0;1;0;43;3
3305505;Saquarema;2014;1;2014m1;Interior;1;0;0;0;2;47;6;6;54;2;2;4;0;6;6;0;0;0;0;0;0;1;21;12;0;4;0;9;79;104;0;0;0;7;2;3;1;6;14;8;1;1;0;46;5;0;0;0;0;0;0;1;12;4;381;3
3305554;Seropédica;2014;1;2014m1;Baixada Fluminense;3;0;0;0;6;48;3;0;8;1;1;8;4;7;1;0;0;0;0;0;0;6;28;5;0;2;2;4;33;46;0;1;0;8;0;3;1;4;5;14;2;5;0;46;6;3;0;0;0;0;0;3;8;8;256;3
3305604;Silva Jardim;2014;1;2014m1;Interior;1;0;0;0;0;6;1;3;17;1;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;10;12;0;0;0;1;1;3;1;5;2;9;1;13;0;8;0;0;0;0;0;0;0;1;0;0;67;3
3305703;Sumidouro;2014;1;2014m1;Interior;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;4;0;0;0;1;1;1;0;2;1;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;28;3
3305752;Tanguá;2014;1;2014m1;Interior;1;0;0;0;0;27;1;0;10;0;0;10;0;2;0;0;0;0;0;0;0;1;13;4;0;0;0;2;5;11;0;1;0;2;3;5;1;9;3;11;1;9;0;27;2;0;0;0;0;0;0;1;2;10;117;3
3305802;Teresópolis;2014;1;2014m1;Interior;1;0;0;1;1;95;2;2;33;1;0;2;0;2;0;0;0;0;0;0;0;0;5;14;0;15;1;1;70;101;0;1;0;47;13;20;2;32;6;50;8;12;0;84;7;0;0;0;0;0;0;2;2;2;459;3
3305901;Trajano de Moraes;2014;1;2014m1;Interior;0;0;0;0;0;7;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;2;0;1;0;1;0;2;0;1;0;7;0;0;0;0;0;0;0;0;0;0;36;3
3306008;Três Rios;2014;1;2014m1;Interior;0;0;1;0;1;83;5;2;13;2;0;0;0;1;0;0;0;0;0;0;0;3;6;2;0;1;0;6;65;74;0;2;0;8;38;9;0;47;1;36;2;14;0;85;7;0;0;0;0;0;0;1;1;0;450;3
3306107;Valença;2014;1;2014m1;Interior;1;0;0;0;3;34;0;3;6;0;0;0;0;1;1;0;0;1;0;0;0;0;3;0;0;1;0;3;19;23;0;0;0;6;5;2;0;7;1;7;2;1;0;29;1;1;0;0;0;0;0;1;3;0;151;3
3306156;Varre-Sai;2014;1;2014m1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3306206;Vassouras;2014;1;2014m1;Interior;0;0;0;0;0;25;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;2;0;0;14;18;0;0;0;2;2;0;0;2;2;3;0;3;0;19;3;0;0;0;0;0;0;0;0;0;86;3
3306305;Volta Redonda;2014;1;2014m1;Interior;7;0;0;0;17;98;6;1;31;10;3;2;0;12;0;0;0;2;0;0;0;8;36;20;0;19;3;17;123;183;0;1;0;53;5;24;7;36;9;80;8;13;0;119;8;1;0;0;0;0;0;7;14;2;740;3
3300100;Angra dos Reis;2014;2;2014m2;Interior;7;0;0;0;9;83;8;1;49;6;2;7;0;18;0;0;0;0;0;0;0;1;34;17;0;3;4;7;81;112;0;1;0;14;15;16;4;35;11;43;5;20;0;80;2;2;0;0;0;0;0;7;18;7;527;3
